"taxonID","description","type","language"
"alien-plants-belgium:taxon:2218f8b07d825a41e1c533e8507e25f2","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:2218f8b07d825a41e1c533e8507e25f2","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:2218f8b07d825a41e1c533e8507e25f2","cbd_2014_pathway:contaminant_habitat_material","pathway","en"
"alien-plants-belgium:taxon:226f61f01738b74e7de7bf35498f0076","vagrant","origin","en"
"alien-plants-belgium:taxon:226f61f01738b74e7de7bf35498f0076","Australasia (WGSRPD:5)","native range","en"
"alien-plants-belgium:taxon:226f61f01738b74e7de7bf35498f0076","cbd_2014_pathway:contaminant_on_animals","pathway","en"
"alien-plants-belgium:taxon:2274c51839d89789350a3e7a68a15d43","vagrant","origin","en"
"alien-plants-belgium:taxon:2274c51839d89789350a3e7a68a15d43","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:2274c51839d89789350a3e7a68a15d43","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:2278eb8b542d27f82477576975dd4f91","vagrant","origin","en"
"alien-plants-belgium:taxon:2278eb8b542d27f82477576975dd4f91","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:2278eb8b542d27f82477576975dd4f91","Africa (WGSRPD:2)","native range","en"
"alien-plants-belgium:taxon:2278eb8b542d27f82477576975dd4f91","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:2278eb8b542d27f82477576975dd4f91","cbd_2014_pathway:contaminant_nursery","pathway","en"
"alien-plants-belgium:taxon:229ddef18ace57f359d1c3df2c72564e","introduced","origin","en"
"alien-plants-belgium:taxon:229ddef18ace57f359d1c3df2c72564e","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:229ddef18ace57f359d1c3df2c72564e","cbd_2014_pathway:contaminant_habitat_material","pathway","en"
"alien-plants-belgium:taxon:22b3dddf4f7196312729aae1ec2ba62e","vagrant","origin","en"
