"id","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","eventDate"
115,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1886/2011"
116,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1951"
117,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","2003/2015"
118,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1895/1904"
119,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1835/1903"
120,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1947"
121,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1907/1911"
122,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1872/2016"
123,"ISO_3166-2:BE","Belgium","BE","present","","1850"
124,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","2016"
125,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1811/2016"
126,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","2017"
127,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2011/2013"
128,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1850"
129,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2012/2016"
130,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2014"
131,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1885"
132,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2013"
133,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1989/2017"
134,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2014/2017"
135,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1948/2015"
136,"ISO_3166-2:BE","Belgium","BE","present","escape:food_bait","2010/2014"
137,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2017"
138,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1836/2017"
139,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1925/2017"
140,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2013/2017"
141,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1984"
142,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1811/2017"
143,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1939/2017"
144,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2003"
145,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2015"
146,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2014/2017"
147,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1868/2017"
148,"ISO_3166-2:BE","Belgium","BE","presence uncertain","escape:horticulture",""
149,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2011/2017"
150,"ISO_3166-2:BE","Belgium","BE","presence uncertain","escape:horticulture",""
151,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2012/2016"
152,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1957/2016"
153,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1898/2017"
154,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1983/2012"
155,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1813/2017"
156,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1880/2016"
157,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1850/2016"
158,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture | escape:agriculture","1850/2017"
159,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1859/2017"
160,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1812/2017"
161,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1889/2016"
162,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1891/2016"
163,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1938/2004"
164,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","1975"
165,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1886/2010"
166,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1906/2015"
167,"ISO_3166-2:BE","Belgium","BE","present","","1835/1892"
168,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1876/2016"
169,"ISO_3166-2:BE","Belgium","BE","present","escape:horticulture","2017"
170,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | escape:horticulture","1873/2015"
171,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1989/2017"
172,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1885/2016"
173,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1893/2016"
174,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1921/2015"
175,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","2016"
